이름,Method,Endpoint,기능,설명(요약)
챌린지 생성,POST,/api/v1/challenges,챌린지 생성 및 DB 저장,추천 결과(루틴/목표값/선택 방식)로 챌린지 생성. AUTO 선택 시 grantedPermissions 검증.
챌린지 수정,PATCH,/api/v1/challenges/{challengeId},"챌린지 설정 수정(시작 전, 생성자)","챌린지 설정 수정(시작 전, 생성자). verificationMethods 제거, params만 조정 가능."
챌린지 삭제,DELETE,/api/v1/challenges/{challengeId},챌린지 소프트 삭제,챌린지 소프트 삭제(생성자).
챌린지 상세 조회,GET,/api/v1/challenges/{challengeId},챌린지 상세 + 참여 자격 조회,챌린지 상세 조회(참여 자격/통계 포함). verificationMethods 대신 templateId+verification+params로 응답.
챌린지 참여 신청,POST,/api/v1/challenges/{challengeId}/members,챌린지 참여 신청(그룹은 PENDING 가능),챌린지 참여 신청(그룹은 승인 대기 PENDING 가능).
챌린지 멤버 목록,GET,/api/v1/challenges/{challengeId}/members,챌린지 멤버 목록 조회,챌린지 멤버 목록 조회(status 쿼리로 필터). PENDING/ALL은 OWNER만 가능.
참여 승인/거절,PATCH,/api/v1/challenges/{challengeId}/members/{userId},운영자(OWNER) 참여 승인/거절,OWNER가 참여 승인/거절(PENDING→ACTIVE/REMOVED).
챌린지 이미지 업로드,POST,/api/v1/challenges/image,챌린지 대표 이미지 업로드,챌린지 대표 이미지 업로드(multipart).
챌린지 기본값 추천,POST,/api/v1/challenges/recommendation,제목/설명 기반 LLM 기본값 추천,루틴 템플릿 매칭 + 설정 초안 추천. 매칭 실패/LLM 실패여도 200으로 수동(MANUAL) 추천 폴백.
내 챌린지 목록,GET,/api/v1/challenges,내가 참여 중인 챌린지 목록,멤버십 기준 목록(scope=ACTIVE 기본 / ALL=ACTIVE+PENDING). 항목마다 memberStatus(ACTIVE/PENDING) 포함. 소프트삭제 제외·페이지네이션 없음.
추천 선택 초안(LLM 우회),POST,/api/v1/challenges/recommendation/by-template,추천 카드 선택 → 챌린지 초안,추천 카드에서 고른 templateId로 초안 구성. 반복요일 전체·기간 14일 기본값. LLM 안 거침.
루틴 발견 추천,GET,/api/v1/recommendations/routines,관심사 + 세그먼트 인기도 기반 루틴 추천,생성 진입 시 추천 카드용(별도 호출). 관심사+세그먼트 인기도로 루틴 최대 3건 추천(진행 중 템플릿 제외). 카드 탭 시 by-template로 초안 구성.
